Item1.X,Item1.Y,Item1.Brightness,Item2
0,0,112,1549.940032
0,0,104,1549.950016
0,0,110,1549.960032
0,0,108,1549.970016
0,0,112,1549.980032
0,0,109,1549.990016
0,0,104,1550.000032
0,0,108,1550.010016
0,0,112,1550.020032
0,0,106,1550.030016
0,0,103,1550.040032
0,0,110,1550.050016
0,0,109,1550.060032
0,0,105,1550.070016
0,0,109,1550.080032
0,0,109,1550.090016
0,0,109,1550.100032
0,0,110,1550.110016
0,0,108,1550.120032
0,0,109,1550.130016
0,0,112,1550.140032
0,0,113,1550.150016
0,0,108,1550.160032
0,0,116,1550.170016
0,0,113,1550.180032
0,0,111,1550.190016
0,0,106,1550.200032
0,0,113,1550.210016
0,0,111,1550.220032
0,0,110,1550.230016
0,0,110,1550.240032
0,0,111,1550.250016
0,0,106,1550.260032
0,0,104,1550.270016
0,0,116,1550.280032
0,0,113,1550.290016
0,0,106,1550.300032
0,0,110,1550.310016
0,0,113,1550.320032
0,0,114,1550.330016
0,0,112,1550.340032
0,0,107,1550.350016
0,0,111,1550.360032
0,0,110,1550.370016
0,0,107,1550.380032
0,0,107,1550.390016
0,0,111,1550.400032
0,0,111,1550.410016
0,0,109,1550.420032
0,0,105,1550.430016
0,0,108,1550.440032
0,0,112,1550.450016
0,0,109,1550.460032
0,0,105,1550.470016
0,0,112,1550.480032
0,0,108,1550.490016
0,0,109,1550.500032
0,0,110,1550.510016
0,0,110,1550.520032
0,0,113,1550.530016
0,0,107,1550.540032
0,0,109,1550.550016
0,0,108,1550.560032
0,0,114,1550.570016
0,0,110,1550.580032
0,0,108,1550.590016
0,0,109,1550.600032
0,0,110,1550.610016
0,0,111,1550.620032
0,0,107,1550.630016
0,0,109,1550.640032
0,0,112,1550.650016
0,0,110,1550.660032
0,0,112,1550.670016
0,0,112,1550.680032
0,0,109,1550.690016
0,0,113,1550.700032
0,0,106,1550.710016
0,0,108,1550.720032
0,0,111,1550.730016
0,0,111,1550.740032
0,0,108,1550.750016
0,0,114,1550.760032
0,0,106,1550.770016
0,0,109,1550.780032
0,0,109,1550.790016
0,0,109,1550.800032
0,0,118,1550.810016
0,0,112,1550.820032
0,0,105,1550.830016
0,0,111,1550.840032
0,0,113,1550.850016
0,0,108,1550.860032
0,0,108,1550.870016
0,0,109,1550.880032
0,0,113,1550.890016
0,0,108,1550.900032
0,0,113,1550.910016
0,0,115,1550.920032
0,0,107,1550.930016
0,0,111,1550.940032
0,0,116,1550.950016
0,0,112,1550.960032
0,0,110,1550.970016
