Item1.Item1.X,Item1.Item1.Y,Item1.Item1.Brightness,Item1.Item2,Item2
0,0,104,2685.900032,4264.736
0,0,107,2685.910016,4264.745984
0,0,107,2685.920032,4264.756
0,0,106,2685.930016,4264.765984
0,0,101,2685.940032,4264.776
0,0,102,2685.950016,4264.785984
0,0,104,2685.960032,4264.796
0,0,107,2685.970016,4264.805984
0,0,100,2685.980032,4264.816
0,0,101,2685.990016,4264.825984
0,0,105,2686.000032,4264.836
0,0,106,2686.010016,4264.845984
0,0,103,2686.020032,4264.856
0,0,107,2686.030016,4264.865984
0,0,106,2686.040032,4264.876
0,0,105,2686.050016,4264.885984
0,0,104,2686.060032,4264.896
0,0,104,2686.070016,4264.904992
0,0,104,2686.080032,4264.916
0,0,100,2686.090016,4264.925984
0,0,102,2686.100032,4264.936
0,0,103,2686.110016,4264.945984
0,0,109,2686.120032,4264.956
0,0,106,2686.130016,4264.965984
0,0,109,2686.140032,4264.976
0,0,105,2686.150016,4264.985984
0,0,104,2686.160032,4264.996
0,0,99,2686.170016,4265.005984
0,0,105,2686.180032,4265.016
0,0,107,2686.190016,4265.025984
0,0,110,2686.200032,4265.036
0,0,104,2686.210016,4265.045984
0,0,101,2686.220032,4265.056
0,0,101,2686.230016,4265.065984
0,0,102,2686.240032,4265.076
0,0,103,2686.250016,4265.085984
0,0,107,2686.260032,4265.096
0,0,103,2686.270016,4265.105984
0,0,101,2686.280032,4265.116
0,0,108,2686.290016,4265.125984
0,0,106,2686.300032,4265.136
0,0,105,2686.310016,4265.145984
0,0,106,2686.320032,4265.156
0,0,104,2686.330016,4265.165984
0,0,104,2686.340032,4265.176
0,0,102,2686.350016,4265.185984
0,0,103,2686.360032,4265.196
0,0,104,2686.370016,4265.205984
0,0,108,2686.380032,4265.216
0,0,105,2686.390016,4265.225984
0,0,109,2686.400032,4265.236
0,0,103,2686.410016,4265.245984
0,0,107,2686.420032,4265.256
0,0,108,2686.430016,4265.265984
0,0,104,2686.440032,4265.276
0,0,105,2686.450016,4265.285984
0,0,107,2686.460032,4265.296
0,0,103,2686.470016,4265.305984
0,0,105,2686.480032,4265.316
0,0,102,2686.490016,4265.325984
0,0,108,2686.500032,4265.336
0,0,103,2686.510016,4265.345984
0,0,105,2686.520032,4265.356
0,0,102,2686.530016,4265.365984
0,0,102,2686.540032,4265.376
0,0,107,2686.550016,4265.385984
0,0,108,2686.560032,4265.396
0,0,102,2686.570016,4265.405984
0,0,102,2686.580032,4265.416
0,0,105,2686.590016,4265.425984
0,0,103,2686.600032,4265.436
0,0,102,2686.610016,4265.445984
0,0,105,2686.620032,4265.456
0,0,106,2686.630016,4265.465984
0,0,105,2686.640032,4265.476
0,0,106,2686.650016,4265.485984
0,0,105,2686.660032,4265.496
0,0,103,2686.670016,4265.505984
0,0,100,2686.680032,4265.516
0,0,101,2686.690016,4265.525984
0,0,105,2686.700032,4265.536
0,0,103,2686.710016,4265.545984
0,0,102,2686.720032,4265.556
0,0,105,2686.730016,4265.565984
0,0,106,2686.740032,4265.576
0,0,101,2686.750016,4265.585984
0,0,108,2686.760032,4265.596
0,0,105,2686.770016,4265.605984
0,0,104,2686.780032,4265.616
0,0,103,2686.790016,4265.625984
0,0,106,2686.800032,4265.636
0,0,103,2686.810016,4265.645984
0,0,103,2686.820032,4265.656
0,0,103,2686.830016,4265.665984
0,0,102,2686.840032,4265.676
0,0,103,2686.850016,4265.685984
0,0,104,2686.860032,4265.696
0,0,103,2686.870016,4265.705984
0,0,109,2686.880032,4265.716
0,0,107,2686.890016,4265.725984
0,0,101,2686.900032,4265.736
0,0,106,2686.910016,4265.745984
0,0,107,2686.920032,4265.756
0,0,104,2686.930016,4265.765984
0,0,106,2686.940032,4265.776
0,0,105,2686.950016,4265.785984
0,0,107,2686.960032,4265.796
0,0,107,2686.970016,4265.805984
0,0,104,2686.980032,4265.816
0,0,104,2686.990016,4265.825984
0,0,106,2687.000032,4265.836
0,0,104,2687.010016,4265.845984
0,0,102,2687.020032,4265.856
0,0,106,2687.030016,4265.865984
0,0,108,2687.040032,4265.876
0,0,103,2687.050016,4265.885984
0,0,103,2687.060032,4265.896
0,0,105,2687.070016,4265.905984
0,0,101,2687.080032,4265.916
0,0,106,2687.090016,4265.925984
0,0,104,2687.100032,4265.936
0,0,102,2687.110016,4265.945984
